Height,Weight,Age,Gender
157,69,27,Male
190,59,33,Female
146,100,35,Male
139,93,24,Female
156,105,37,Male
187,85,27,Female
178,54,38,Female
177,88,35,Female
167,92,24,Male
149,89,23,Female
179,62,23,Male
157,87,36,Male
168,103,19,Female
177,102,33,Male
189,95,40,Male
165,91,35,Female
183,82,26,Male
160,64,34,Female
169,73,18,Male
139,80,40,Male
167,84,21,Male
141,67,32,Female
189,75,22,Female
168,70,30,Male
164,87,40,Male
142,78,24,Female
158,88,29,Male
139,98,21,Male
159,92,37,Female
174,100,22,Male
160,51,28,Male
161,73,37,Male
158,78,29,Female
182,72,22,Female
180,78,24,Male
145,100,24,Male
183,49,35,Male
146,82,34,Male
164,69,37,Male
161,51,28,Female
191,73,34,Male
138,51,24,Female
150,91,24,Female
141,52,19,Male
146,63,18,Male
187,77,38,Female
162,62,37,Male
147,65,29,Male
148,65,31,Male
165,52,27,Male
163,56,35,Female
164,70,33,Male
162,63,32,Male
147,56,35,Female
158,59,19,Female
166,67,21,Female
156,98,37,Female
158,102,39,Male
148,69,32,Male
150,100,31,Female
181,58,23,Female
139,91,30,Male
138,96,31,Female
152,89,31,Female
142,52,30,Female
139,53,29,Male
144,61,18,Female
148,54,25,Female
161,63,24,Female
179,78,34,Female
137,78,21,Male
173,86,25,Female
149,58,18,Male
156,73,20,Male
157,74,23,Female
188,90,30,Female
171,71,19,Female
172,56,24,Female
167,88,38,Female
165,75,26,Male
160,66,19,Female
176,80,22,Female
139,92,25,Female
144,73,33,Female
154,75,27,Female
141,71,37,Female
158,77,19,Female
169,55,34,Female
181,50,39,Male
187,64,21,Female
190,56,40,Male
146,85,23,Male
144,94,29,Female
146,105,20,Female
189,80,21,Female
167,93,29,Female
184,91,19,Female
149,92,33,Male
160,84,28,Male
154,65,26,Male
171,54,26,Male
191,82,36,Female
141,62,29,Female
138,91,27,Female
161,61,39,Female
140,77,38,Female
146,77,40,Male
173,59,37,Female
137,94,22,Female
142,90,40,Female
190,101,30,Female
175,63,32,Male
160,48,38,Female
146,105,38,Female
169,80,32,Female
172,54,21,Female
171,56,39,Male
165,93,24,Male
181,57,39,Male
142,92,24,Male
174,93,34,Male
188,79,35,Male
184,65,22,Male
161,86,29,Female
169,81,25,Female
185,50,35,Female
139,78,40,Male
188,75,30,Female
159,62,35,Female
183,71,22,Male
169,53,28,Female
153,59,26,Male
181,94,21,Male
154,53,30,Male
167,94,28,Male
140,74,21,Male
147,88,32,Male
163,49,19,Male
141,50,33,Male
166,84,23,Male
150,86,22,Male
159,103,40,Female
146,98,22,Male
140,96,30,Male
150,52,38,Male
160,48,40,Male
139,100,18,Male
146,80,19,Female
148,81,26,Male
159,55,37,Male
147,56,27,Male
172,52,38,Male
148,95,18,Female
154,97,33,Female
153,52,21,Male
166,61,35,Male
169,91,18,Male
163,88,29,Female
141,89,19,Male
159,56,38,Female
165,86,33,Male
184,55,37,Female
162,68,34,Female
162,78,21,Male
185,75,39,Male
177,74,21,Male
162,64,20,Male
180,62,36,Female
183,77,26,Female
159,93,33,Female
161,57,35,Female
178,80,35,Female
167,104,37,Female
164,58,19,Female
188,104,25,Male
164,72,30,Female
149,86,38,Male
179,96,22,Male
188,73,39,Male
167,100,39,Female
188,77,18,Male
169,97,20,Female
185,101,40,Female
158,64,19,Male
155,74,18,Female
155,81,37,Female
171,67,25,Female
160,51,34,Male
187,51,20,Female
187,88,29,Female
187,100,35,Female
180,60,23,Female
191,77,29,Male
184,53,23,Male
143,55,19,Female
169,49,39,Male
138,97,29,Female
147,55,28,Female
163,51,29,Male
140,71,35,Male
174,54,31,Female
189,80,22,Male
153,65,28,Male
171,85,23,Male
164,73,21,Female
156,57,33,Male
160,100,36,Female
137,75,28,Female
187,57,39,Female
177,85,22,Male
154,69,26,Male
158,50,34,Female
165,72,35,Male
189,71,37,Male
187,72,24,Male
152,103,25,Female
165,50,39,Female
159,72,36,Male
159,99,18,Female
191,85,28,Male
188,50,24,Male
160,103,40,Female
149,78,20,Male
169,100,33,Male
139,66,27,Female
170,91,36,Male
157,89,18,Male
189,79,34,Female
158,88,24,Male
170,68,20,Male
150,72,28,Female
141,71,24,Female
158,72,29,Male
170,76,34,Female
152,54,34,Female
161,97,37,Female
190,97,18,Male
187,51,26,Female
139,50,25,Female
179,72,21,Male
175,61,39,Male
166,50,24,Male
153,105,35,Female
191,63,25,Female
159,86,36,Male
182,51,24,Male
138,53,22,Male
177,71,26,Male
147,65,32,Male
152,54,25,Female
159,50,26,Male
153,90,33,Male
139,94,30,Female
179,52,23,Male
148,73,19,Female
172,102,33,Female
145,90,30,Female
158,52,20,Male
164,81,29,Male
150,79,29,Female
190,73,23,Male
154,82,37,Female
183,86,18,Male
160,84,35,Female
143,53,27,Female
190,57,26,Female
143,92,33,Female
160,77,32,Female
164,97,20,Female
172,66,33,Female
178,74,30,Male
161,79,34,Male
165,100,36,Male
185,94,37,Female
146,55,18,Female
142,93,33,Male
142,100,19,Male
153,50,37,Male
163,94,25,Female
152,78,19,Female
140,105,25,Male
168,95,20,Male
164,65,30,Female
184,72,30,Male
151,58,31,Female
158,81,21,Male
168,71,29,Male
188,79,35,Male
176,70,31,Male
137,95,19,Male
184,104,35,Female
162,53,26,Male
183,101,21,Female
189,51,30,Female
179,100,31,Male
184,95,32,Female
180,66,36,Female
184,72,19,Female
142,100,38,Female
162,74,37,Female
156,66,32,Female
159,98,18,Male
171,82,21,Female
138,83,25,Female
167,77,26,Female
166,52,39,Male
152,70,37,Female
176,71,18,Female
167,80,39,Male
190,53,20,Female
176,71,34,Male
170,105,32,Female
177,68,27,Female
188,96,25,Female
181,98,21,Male
141,81,24,Male
145,96,34,Male
146,60,23,Male
145,76,25,Female
185,96,37,Male
180,89,39,Male
144,69,22,Female
189,55,28,Female
146,48,36,Female
156,77,31,Female
189,71,34,Male
175,51,39,Male
147,49,34,Male
165,64,25,Male
146,76,33,Female
182,51,26,Female
160,74,19,Female
157,77,38,Male
187,54,36,Female
154,57,31,Female
151,52,29,Male
149,49,20,Male
140,97,37,Female
152,96,20,Male
162,81,35,Male
160,63,30,Male
160,54,38,Female
186,65,34,Female
143,77,32,Female
165,86,23,Male
185,66,35,Female
145,77,37,Male
137,63,27,Female
145,70,36,Female
155,76,36,Male
171,53,38,Male
172,71,27,Male
154,64,23,Female
148,91,27,Female
180,97,39,Female
161,83,27,Male
191,61,30,Male
190,76,32,Male
184,54,32,Male
166,74,19,Male
140,71,22,Female
145,64,19,Female
164,82,26,Male
167,61,37,Male
167,79,20,Female
180,100,30,Female
154,78,25,Male
147,60,24,Female
177,68,39,Female
168,50,34,Female
191,89,23,Female
143,53,34,Male
159,71,19,Female
154,69,39,Male
181,96,40,Female
177,86,25,Female
171,87,34,Female
156,58,19,Male
165,55,28,Female
179,57,35,Male
170,80,30,Female
150,53,36,Male
176,91,25,Female
148,105,39,Male
167,73,36,Male
137,103,37,Female
175,63,35,Female
190,66,30,Female
159,68,31,Female
185,85,32,Female
158,69,22,Female
159,81,33,Female
187,73,36,Female
176,58,27,Female
190,72,21,Male
146,94,24,Male
157,70,25,Male
164,71,23,Male
155,58,29,Male
165,62,34,Female
187,104,31,Male
156,91,35,Male
162,54,37,Female
174,84,35,Female
186,102,29,Male
138,67,28,Female
159,83,38,Male
155,94,25,Female
176,53,26,Female
185,89,31,Female
160,99,30,Male
157,57,37,Male
162,73,18,Female
179,73,40,Female
159,98,22,Female
170,105,35,Male
173,58,22,Male
185,83,32,Female
181,74,26,Female
149,58,32,Male
155,98,33,Female
187,100,37,Male
152,80,35,Male
174,63,30,Female
147,67,24,Male
148,68,26,Female
154,92,40,Male
162,68,23,Female
138,88,35,Female
182,96,26,Female
143,51,24,Female
139,51,26,Male
189,55,38,Male
170,91,20,Male
184,90,34,Male
150,81,38,Male
146,87,22,Male
173,60,28,Male
143,57,34,Male
141,68,37,Female
191,92,28,Male
182,61,23,Female
140,86,20,Male
153,57,29,Female
172,98,23,Male
181,54,22,Female
160,99,38,Male
181,58,34,Male
145,72,20,Male
160,99,31,Female
148,69,18,Female
144,51,40,Male
145,94,24,Male
153,99,37,Female
170,89,33,Female
148,57,40,Female
147,63,23,Male
146,50,21,Female
182,70,37,Female
168,72,34,Male
148,62,32,Male
181,85,18,Female
150,79,39,Female
161,67,22,Male
165,58,22,Male
182,73,25,Male
169,93,36,Male
149,100,37,Male
165,90,29,Female
166,58,29,Female
186,69,35,Female
177,91,29,Male
174,82,40,Female
149,48,26,Male
163,99,20,Male
185,51,32,Male
145,62,25,Female
159,67,36,Male
172,71,24,Male
144,78,30,Male
150,65,32,Male
165,70,36,Male
144,80,39,Male
161,93,36,Male
187,61,28,Female
159,87,39,Female
187,64,33,Female
181,95,25,Female
174,102,31,Female
150,101,30,Female
174,50,25,Female
183,103,33,Male
176,85,28,Male
167,52,21,Female
139,68,28,Female
163,92,18,Male
180,55,25,Female
141,80,37,Male
188,61,25,Female
176,105,39,Female
184,59,39,Male
159,72,29,Female
166,67,19,Male
186,71,19,Male
153,50,37,Male
137,55,33,Male
141,70,23,Female
140,62,23,Female
162,102,39,Female
166,52,28,Female
191,89,34,Female
177,83,39,Female
153,81,34,Male
167,64,36,Female
171,59,21,Male
147,93,36,Female
143,85,28,Female
138,104,18,Male
139,79,25,Female
151,79,38,Male
179,58,24,Female
179,55,34,Male
163,85,26,Female
149,103,27,Female
179,54,32,Female
170,101,40,Female
162,105,35,Male
174,75,23,Female
183,76,34,Female
161,83,24,Female
151,100,33,Male
187,102,31,Male
173,96,22,Male
152,98,20,Male
170,69,33,Female
178,55,29,Female
155,102,39,Male
171,68,33,Male
150,61,30,Male
179,70,25,Female
139,92,20,Female
182,90,35,Male
168,60,33,Female
173,55,29,Female
159,94,18,Male
144,101,30,Male
143,99,33,Female
161,82,37,Male
141,70,19,Female
181,61,25,Female
172,96,25,Male
181,63,37,Female
170,89,25,Female
175,76,31,Female
139,54,40,Female
191,59,29,Male
167,67,27,Male
171,95,37,Female
183,92,25,Male
187,94,26,Female
186,92,23,Male
152,83,29,Male
148,101,34,Male
158,84,33,Male
176,93,28,Male
169,65,33,Male
179,91,21,Female
168,82,38,Female
173,77,21,Male
171,101,24,Male
182,49,19,Female
183,67,28,Male
159,57,37,Female
175,74,18,Male
153,88,21,Female
151,97,26,Female
175,60,36,Male
174,48,20,Female
178,82,34,Male
186,82,26,Male
159,88,39,Female
190,98,29,Male
160,85,21,Male
186,85,28,Female
181,74,40,Male
187,57,30,Male
160,82,20,Male
189,74,29,Male
162,102,39,Female
179,68,27,Male
170,104,21,Male
165,61,19,Female
164,83,30,Female
175,56,19,Male
157,94,27,Male
158,56,39,Male
161,72,38,Male
189,71,23,Male
151,60,20,Male
137,75,30,Male
163,83,26,Male
176,55,40,Male
170,65,36,Male
158,80,23,Female
138,52,31,Female
141,98,32,Female
178,48,27,Female
170,59,27,Male
175,63,18,Male
139,101,22,Male
153,61,39,Male
170,69,27,Male
138,51,21,Male
173,78,19,Male
174,77,34,Female
140,50,20,Male
190,95,26,Female
143,102,29,Female
169,60,21,Male
145,97,30,Male
191,105,32,Male
179,87,21,Male
142,64,18,Male
174,96,21,Female
137,83,18,Female
186,104,31,Male
138,98,38,Male
178,48,21,Female
150,70,37,Male
184,50,19,Male
147,89,19,Male
165,61,18,Male
154,88,29,Male
186,69,19,Female
147,69,20,Female
173,86,32,Male
161,89,37,Male
188,77,35,Male
145,96,22,Male
146,82,30,Female
182,48,27,Female
183,80,19,Male
172,66,19,Male
185,49,33,Female
152,49,24,Female
174,58,34,Male
165,89,25,Female
167,88,31,Female
152,104,19,Male
187,74,35,Male
180,94,29,Female
162,69,29,Male
157,64,40,Male
153,52,34,Female
178,56,27,Male
154,97,21,Female
180,56,34,Male
166,78,35,Female
159,94,40,Female
164,91,35,Female
170,89,33,Male
165,60,21,Female
179,66,36,Male
180,57,40,Male
147,64,27,Female
165,59,29,Female
181,95,38,Female
152,59,24,Male
182,53,22,Male
173,86,35,Male
155,60,40,Male
153,68,32,Male
148,99,19,Female
147,60,33,Male
174,60,30,Female
188,71,29,Female
157,62,26,Male
138,67,34,Male
151,89,20,Female
144,87,19,Female
165,53,28,Male
187,84,21,Male
158,53,36,Male
180,82,23,Female
145,96,21,Male
139,67,30,Male
147,66,19,Female
157,51,18,Male
148,74,26,Male
168,82,23,Male
178,50,19,Female
181,75,28,Male
178,62,19,Male
175,71,26,Male
155,81,20,Female
151,76,34,Male
164,76,28,Female
188,96,19,Female
166,94,40,Female
177,63,23,Male
147,64,23,Female
139,91,27,Male
160,62,18,Female
160,93,38,Male
147,72,34,Male
182,73,26,Male
148,96,30,Male
156,54,26,Male
171,103,29,Female
151,100,36,Female
179,70,23,Female
162,63,23,Female
187,99,23,Female
144,66,40,Female
169,94,21,Female
188,54,21,Female
170,56,31,Female
148,94,36,Male
162,69,31,Female
159,72,28,Female
169,53,18,Male
183,50,34,Male
156,52,35,Male
179,57,21,Male
168,50,31,Female
148,105,37,Female
147,58,36,Male
143,66,21,Male
178,54,24,Female
150,100,27,Male
188,99,28,Male
167,56,37,Female
172,62,25,Female
179,53,18,Male
172,80,39,Male
188,60,38,Male
170,85,37,Male
150,60,38,Female
187,55,28,Male
173,82,40,Female
153,101,30,Female
151,64,25,Female
148,52,24,Female
191,83,22,Female
175,70,28,Male
160,81,25,Female
169,63,29,Female
176,62,25,Male
173,84,27,Male
179,104,27,Male
174,61,35,Male
169,94,28,Male
152,63,40,Male
140,54,39,Male
156,71,31,Female
188,91,30,Male
166,71,18,Male
184,69,30,Male
165,103,39,Male
152,82,18,Female
143,48,18,Male
181,94,28,Female
149,61,18,Male
178,67,29,Male
142,48,21,Female
150,86,24,Male
144,75,31,Female
145,86,31,Female
141,87,28,Female
164,52,26,Male
143,86,35,Female
178,75,20,Male
139,71,25,Male
163,90,30,Male
146,90,29,Female
141,78,36,Male
156,66,22,Female
159,48,35,Male
159,56,34,Female
189,62,37,Male
137,87,23,Male
186,89,26,Male
167,69,33,Female
139,51,24,Female
